index,notes
0,"Good info but not in my style. I'd just do 1-2 lines for each point. Also I wouldn't put emojis in parentheses.

Model invents CTA"
1,"Model includes section labels in post

Double CTA"
2,"Section labels in post

Invents CTA

Recommendations in body are a bit overwhelming. I wouldn't share that much info at once"
3,"Bad hook

Section labels in post

Invents CTA

Numbered points have too much content. Should just be 1-2 lines"
4,"Section labels in post

tricolon

Code is too much for a linkedin post.

Invents CTA"
5,"Sections labels in post

tricolon

invents CTA"
6,"Invents CTA

Tech is a bit outdated. Model should avoid writing code or giving specific tech recs unless provided by user"
7,Lessons are made up but otherwise okay
8,"I wouldn't use ""Fluff"""
9,"Giving advice seems inappropriate here, probably better to just make an argument for the claim or tell a story

No need for 2nd part of CTA"
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
